[Path1] new start x:52.9673 y:63.6838 t:0
[Path1] new goal x:16.7675 y:49.1923 t:180
[Path1] 开始路径规划...
[Path1] A*搜索完成，用时: 0.0131981 秒
[Path1] Raw Path (x, y, heading_deg, drive):
  32.2411, 49.2106, 2.72721, 正向
  33.24, 49.2582, 2.72721, 正向
  34.2389, 49.3057, 2.72721, 正向
  35.2377, 49.3533, 2.72721, 正向
  36.2366, 49.4009, 2.72721, 正向
  37.2355, 49.4485, 2.72721, 正向
  38.2343, 49.4961, 2.72721, 正向
  39.2332, 49.5437, 2.72721, 正向
  40.2321, 49.5912, 2.72721, 正向
  41.2309, 49.6388, 2.72721, 正向
  42.2298, 49.6864, 2.72721, 正向
  43.2287, 49.734, 2.72721, 正向
  44.2275, 49.7816, 2.72721, 正向
  45.2264, 49.8291, 2.72721, 正向
  46.2253, 49.8767, 2.72721, 正向
  47.2241, 49.9243, 2.72721, 正向
  48.223, 49.9719, 2.72721, 正向
  49.2219, 50.0195, 2.72721, 正向
  50.2207, 50.067, 2.72721, 正向
  51.2196, 50.1146, 2.72721, 正向
  52.2185, 50.1622, 2.63547, 正向
[Path2] Smoothed Path (x, y, heading_deg, drive):
  16.6381, 49.0504, 179.421, 正向
  17.3428, 49.0017, 186.171, 倒车
  18.0368, 49.062, 192.921, 倒车
  18.7163, 49.2076, 192.096, 倒车
  19.3757, 49.4287, 198.538, 倒车
  20.0083, 49.72, 204.72, 倒车
  20.6073, 50.0771, 210.809, 倒车
  21.1658, 50.4959, 216.861, 倒车
  21.6774, 50.9714, 222.903, 倒车
  22.1362, 51.4983, 228.957, 倒车
  22.5363, 52.0709, 235.054, 倒车
  22.8722, 52.683, 241.246, 倒车
  23.137, 53.3285, 247.695, 倒车
  23.3198, 54.0029, 254.832, 倒车
  23.3961, 54.7052, 273.921, 倒车
  23.4029, 53.9988, 280.671, 正向
  23.592, 53.2725, 287.421, 正向
  23.9255, 52.5464, 294.671, 正向
  24.3862, 51.8432, 303.231, 正向
  24.9625, 51.187, 311.293, 正向
  25.6432, 50.6003, 319.242, 正向
  26.4163, 50.101, 327.142, 正向
  27.2678, 49.7003, 334.8, 正向
  28.1826, 49.402, 341.938, 正向
  29.1448, 49.2024, 348.28, 正向
  30.1397, 49.0911, 353.619, 正向
  31.1539, 49.053, 357.849, 正向
  32.1767, 49.0702, 0.962187, 正向
  33.2003, 49.1244, 3.03208, 正向
  34.2199, 49.1992, 4.19348, 正向
  35.2335, 49.2812, 4.62836, 正向
  36.2409, 49.3613, 4.54759, 正向
  37.2432, 49.4343, 4.16446, 正向
  38.242, 49.4983, 3.66762, 正向
  39.2391, 49.5541, 3.19896, 正向
  40.2356, 49.6035, 2.84171, 正向
  41.2324, 49.6492, 2.62275, 正向
  42.2299, 49.6933, 2.53029, 正向
  43.228, 49.7373, 2.52857, 正向
  44.2267, 49.7823, 2.57661, 正向
  45.2257, 49.8284, 2.64, 正向
  46.2248, 49.8754, 2.69487, 正向
  47.2239, 49.923, 2.73133, 正向
  48.223, 49.971, 2.7479, 正向
  49.2219, 50.019, 2.75036, 正向
  50.2208, 50.0669, 2.74532, 正向
  51.2196, 50.1146, 2.73641, 正向
  52.2185, 50.1622, 2.63547, 正向
[Path2] 路径规划完成，总用时: 0.0211859 秒
[Path2] Smoothed Path 装载机模拟完成
[Path3] new start x:18.0437 y:41.7866 t:180.3
[Path3] new goal x:54.4131 y:36.4976 t:359.493
[Path3] 开始路径规划...
[Path3] A*搜索完成，用时: 0.00763109 秒
[Path3] Raw Path (x, y, heading_deg, drive):
  18.0437, 41.7866, 180.3, 正向
  18.7487, 41.8319, 173.55, 倒车
  19.4541, 41.794, 166.8, 倒车
  20.1502, 41.6734, 160.05, 倒车
  20.8273, 41.4719, 153.3, 倒车
  21.476, 41.1922, 146.55, 倒车
  22.0874, 40.8381, 139.8, 倒车
  22.6529, 40.4147, 133.05, 倒车
  23.1647, 39.9278, 126.3, 倒车
  23.6157, 39.384, 119.55, 倒车
  23.9997, 38.791, 112.8, 倒车
  24.3113, 38.157, 106.05, 倒车
  24.5462, 37.4908, 99.2999, 倒车
  24.7013, 36.8016, 92.5499, 倒车
  24.7742, 36.0989, 85.8, 倒车
  24.764, 35.3925, 79.05, 倒车
  24.6709, 34.6922, 72.3, 倒车
  24.8457, 35.3767, 65.55, 正向
  25.3333, 36.2484, 56.0007, 正向
  25.9589, 37.0271, 46.4514, 正向
  26.7049, 37.6913, 36.9021, 正向
  27.5508, 38.2225, 27.3528, 正向
  28.4731, 38.606, 17.8035, 正向
  29.4462, 38.8312, 8.25419, 正向
  30.4432, 38.8918, 358.705, 正向
  31.4395, 38.8091, 354.191, 正向
  32.4343, 38.7079, 354.191, 正向
  33.4292, 38.6067, 354.191, 正向
  34.4241, 38.5055, 354.191, 正向
  35.4189, 38.4043, 354.191, 正向
  36.4138, 38.303, 354.191, 正向
  37.4087, 38.2018, 354.191, 正向
  38.4035, 38.1006, 354.191, 正向
  39.3984, 37.9994, 354.191, 正向
  40.3933, 37.8982, 354.191, 正向
  41.3881, 37.7969, 354.191, 正向
  42.383, 37.6957, 354.191, 正向
  43.3778, 37.5945, 354.191, 正向
  44.3727, 37.4933, 354.191, 正向
  45.3676, 37.3921, 354.191, 正向
  46.3624, 37.2908, 354.191, 正向
  47.3573, 37.1896, 354.191, 正向
  48.3522, 37.0884, 354.191, 正向
  49.347, 36.9872, 354.191, 正向
  50.3419, 36.886, 354.191, 正向
  51.3368, 36.7848, 354.191, 正向
  52.3316, 36.6835, 354.191, 正向
  53.3265, 36.5823, 354.191, 正向
  54.3227, 36.4991, 358.63, 正向
[Path3] Smoothed Path (x, y, heading_deg, drive):
  18.0437, 41.7866, 180.3, 正向
  18.7487, 41.8319, 173.55, 倒车
  19.4397, 41.762, 166.8, 倒车
  20.1136, 41.6053, 166.915, 倒车
  20.7653, 41.3736, 160.428, 倒车
  21.3882, 41.0732, 154.251, 倒车
  21.9758, 40.7087, 148.188, 倒车
  22.5216, 40.2847, 142.163, 倒车
  23.0201, 39.8058, 136.146, 倒车
  23.4659, 39.2769, 130.127, 倒车
  23.8542, 38.7033, 124.097, 倒车
  24.1805, 38.0908, 118.046, 倒车
  24.4403, 37.4461, 111.951, 倒车
  24.6291, 36.7765, 105.743, 倒车
  24.7408, 36.0896, 99.2324, 倒车
  24.764, 35.3925, 91.9102, 倒车
  24.6709, 34.6922, 72.3, 倒车
  24.8457, 35.3767, 65.55, 正向
  25.2494, 36.0647, 56.0007, 正向
  25.8349, 36.7235, 48.3729, 正向
  26.5666, 37.322, 39.2809, 正向
  27.4102, 37.835, 31.3047, 正向
  28.3345, 38.245, 23.92, 正向
  29.312, 38.5433, 16.9715, 正向
  30.3207, 38.7311, 10.5474, 正向
  31.3438, 38.8182, 4.86305, 正向
  32.3699, 38.8208, 0.146559, 正向
  33.3922, 38.7591, 356.546, 正向
  34.4077, 38.6539, 354.087, 正向
  35.416, 38.5243, 352.673, 正向
  36.418, 38.3855, 352.114, 正向
  37.4154, 38.2483, 352.166, 正向
  38.4101, 38.1187, 352.578, 正向
  39.4034, 37.999, 353.128, 正向
  40.3965, 37.8885, 353.651, 正向
  41.3898, 37.785, 354.049, 正向
  42.3835, 37.6856, 354.289, 正向
  43.3778, 37.5877, 354.38, 正向
  44.3725, 37.4895, 354.359, 正向
  45.3673, 37.3897, 354.271, 正向
  46.3622, 37.2879, 354.159, 正向
  47.357, 37.1843, 354.057, 正向
  48.3518, 37.0797, 353.993, 正向
  49.3465, 36.9748, 353.985, 正向
  50.3412, 36.8712, 354.05, 正向
  51.3359, 36.7701, 354.199, 正向
  52.331, 36.6733, 354.44, 正向
  53.3265, 36.5823, 354.78, 正向
  54.3227, 36.4991, 358.63, 正向
[Path3] 路径规划完成，总用时: 0.0168367 秒
[Path3] Smoothed Path 装载机模拟完成
[Path4] new start x:17.0335 y:42.262 t:180.647
[Path4] new goal x:48.8864 y:24.9093 t:1.45945
[Path4] 开始路径规划...
[Path4] A*搜索完成，用时: 0.00630972 秒
[Path4] Raw Path (x, y, heading_deg, drive):
  17.0335, 42.262, 180.647, 正向
  17.7391, 42.2284, 187.397, 倒车
  18.4438, 42.2779, 194.147, 倒车
  19.1378, 42.41, 200.897, 倒车
  19.8115, 42.6227, 207.647, 倒车
